frame,success,tracker,pixel_x_bottom_center,distance_m,bbox_x,bbox_y,bbox_w,bbox_h
0,True,CSRT,124.0,0.2118003025718608,87,1208,74,124
1,True,CSRT,125.0,0.22692889561270801,88,1210,74,124
2,True,CSRT,126.0,0.24205748865355523,89,1212,74,124
3,True,CSRT,127.5,0.264750378214826,90,1214,75,126
4,True,CSRT,132.0,0.3328290468986384,94,1214,76,129
5,True,CSRT,137.5,0.41603630862329805,100,1216,75,126
6,True,CSRT,138.5,0.43116490166414523,101,1221,75,126
7,True,CSRT,145.5,0.5370650529500757,108,1221,75,126
8,True,CSRT,154.0,0.6656580937972768,118,1222,72,121
9,True,CSRT,161.5,0.7791225416036308,126,1219,71,119
10,True,CSRT,168.5,0.8850226928895613,134,1220,69,116
11,True,CSRT,175.5,0.9909228441754917,140,1218,71,119
12,True,CSRT,182.5,1.0968229954614221,148,1219,69,116
13,True,CSRT,188.5,1.1875945537065054,153,1215,71,119
14,True,CSRT,203.0,1.4069591527987897,166,1208,74,124
15,True,CSRT,207.5,1.475037821482602,170,1206,75,126
16,True,CSRT,213.0,1.5582450832072616,175,1204,76,129
17,True,CSRT,221.0,1.6792738275340393,181,1201,80,134
18,True,CSRT,232.5,1.853252647503782,191,1198,83,139
19,True,CSRT,246.0,2.0574886535552195,206,1197,80,134
20,True,CSRT,256.0,2.208774583963691,216,1197,80,134
21,True,CSRT,266.5,2.367624810892587,226,1196,81,136
22,True,CSRT,276.5,2.518910741301059,235,1196,83,139
23,True,CSRT,286.0,2.6626323751891072,244,1197,84,142
24,True,CSRT,297.0,2.8290468986384267,255,1196,84,142
25,True,CSRT,310.5,3.0332829046898637,269,1193,83,139
26,True,CSRT,321.0,3.1921331316187596,278,1190,86,145
27,True,CSRT,333.0,3.373676248108926,290,1187,86,145
28,True,CSRT,345.0,3.5552193645990924,300,1185,90,151
29,True,CSRT,355.5,3.7140695915279878,310,1184,91,154
30,True,CSRT,366.5,3.8804841149773073,319,1182,95,160
31,True,CSRT,378.5,4.062027231467473,329,1179,99,166
32,True,CSRT,388.5,4.213313161875946,339,1177,99,166
33,True,CSRT,401.5,4.409984871406959,352,1175,99,166
34,True,CSRT,421.5,4.712556732223903,370,1165,103,173
35,True,CSRT,434.5,4.909228441754917,382,1163,105,176
36,True,CSRT,445.5,5.075642965204236,396,1170,99,166
37,True,CSRT,457.5,5.257186081694402,409,1171,97,163
38,True,CSRT,470.5,5.453857791225416,423,1172,95,160
39,True,CSRT,483.5,5.65052950075643,434,1171,99,166
40,True,CSRT,494.5,5.816944024205749,447,1174,95,160
41,True,CSRT,508.5,6.02874432677761,461,1173,95,160
42,True,CSRT,527.5,6.316187594553707,479,1164,97,163
43,True,CSRT,539.5,6.497730711043873,490,1163,99,166
44,True,CSRT,551.5,6.67927382753404,502,1163,99,166
45,True,CSRT,564.5,6.875945537065053,514,1161,101,170
46,True,CSRT,577.5,7.072617246596066,527,1161,101,170
47,True,CSRT,588.5,7.2390317700453854,538,1160,101,170
48,True,CSRT,606.5,7.511346444780635,555,1148,103,173
49,True,CSRT,617.5,7.677760968229955,566,1145,103,173
50,True,CSRT,632.5,7.904689863842663,581,1144,103,173
51,True,CSRT,646.5,8.116490166414524,597,1147,99,166
52,True,CSRT,663.5,8.373676248108925,612,1141,103,173
53,True,CSRT,679.5,8.61573373676248,629,1147,101,170
54,True,CSRT,691.5,8.797276853252647,643,1149,97,163
55,True,CSRT,704.5,8.993948562783661,654,1148,101,170
56,True,CSRT,721.5,9.251134644478064,670,1142,103,173
57,True,CSRT,736.5,9.478063540090771,686,1146,101,170
58,True,CSRT,751.5,9.70499243570348,700,1144,103,173
59,True,CSRT,764.5,9.901664145234493,713,1143,103,173
60,True,CSRT,781.5,10.158850226928896,731,1139,101,170
61,True,CSRT,794.5,10.35552193645991,744,1143,101,170
62,True,CSRT,808.5,10.56732223903177,758,1142,101,170
63,True,CSRT,820.5,10.748865355521936,769,1141,103,173
64,True,CSRT,833.5,10.94553706505295,784,1140,99,166
65,True,CSRT,850.5,11.202723146747353,801,1137,99,166
66,True,CSRT,861.5,11.369137670196672,813,1137,97,163
67,True,CSRT,877.5,11.611195158850228,829,1136,97,163
68,True,CSRT,894.5,11.868381240544629,844,1130,101,170
69,True,CSRT,912.5,12.14069591527988,860,1129,105,176
70,True,CSRT,924.5,12.322239031770046,873,1136,103,173
71,True,CSRT,940.5,12.5642965204236,889,1132,103,173
72,True,CSRT,955.5,12.791225416036308,903,1134,105,176
73,True,CSRT,971.5,13.033282904689864,918,1133,107,180
74,True,CSRT,984.5,13.229954614220878,931,1132,107,180
75,True,CSRT,1001.5,13.48714069591528,950,1131,103,173
76,True,CSRT,1015.5,13.69894099848714,965,1133,101,170
77,True,CSRT,1028.5,13.895612708018154,979,1135,99,166
78,True,CSRT,1043.5,14.122541603630863,994,1135,99,166
79,True,CSRT,1058.5,14.349470499243571,1008,1134,101,170
80,True,CSRT,1073.5,14.576399394856278,1024,1132,99,166
81,True,CSRT,1085.5,14.757942511346444,1037,1132,97,163
82,True,CSRT,1101.5,15.0,1053,1132,97,163
83,True,CSRT,1116.5,15.226928895612708,1068,1133,97,163
84,True,CSRT,1131.5,15.453857791225417,1083,1134,97,163
85,True,CSRT,1149.5,15.726172465960666,1102,1134,95,160
86,True,CSRT,1163.5,15.937972768532527,1116,1137,95,160
87,True,CSRT,1175.5,16.119515885022693,1128,1137,95,160
88,True,CSRT,1188.5,16.316187594553707,1140,1136,97,163
89,True,CSRT,1204.5,16.55824508320726,1155,1133,99,166
90,True,CSRT,1224.5,16.860816944024204,1174,1131,101,170
91,True,CSRT,1238.5,17.072617246596067,1188,1131,101,170
92,True,CSRT,1251.5,17.26928895612708,1201,1131,101,170
93,True,CSRT,1262.5,17.4357034795764,1212,1132,101,170
94,True,CSRT,1275.5,17.632375189107414,1225,1131,101,170
95,True,CSRT,1289.5,17.844175491679273,1240,1131,99,166
96,True,CSRT,1306.5,18.101361573373676,1257,1130,99,166
97,True,CSRT,1322.5,18.34341906202723,1271,1123,103,173
98,True,CSRT,1339.5,18.600605143721634,1287,1120,105,176
99,True,CSRT,1356.5,18.857791225416037,1304,1121,105,176
100,True,CSRT,1367.5,19.024205748865356,1314,1122,107,180
101,True,CSRT,1380.5,19.22087745839637,1328,1125,105,176
